osmid,y,x,street_count,ref,highway,geometry
31777024,45.5495504,-73.5681547,4,,,POINT (-73.5681547 45.5495504)
31777038,45.5572293,-73.5626315,3,,,POINT (-73.5626315 45.5572293)
31777189,45.5262116,-73.5878305,4,,,POINT (-73.5878305 45.5262116)
31777190,45.5262644,-73.5879503,4,,,POINT (-73.5879503 45.5262644)
32124362,45.473355,-73.6103392,4,,,POINT (-73.6103392 45.473355)
32124365,45.4743074,-73.6088246,4,301,,POINT (-73.6088246 45.4743074)
32124404,45.500885,-73.5746996,2,406,,POINT (-73.5746996 45.500885)
32124566,45.4925317,-73.5722786,4,,,POINT (-73.5722786 45.4925317)
32124567,45.4914247,-73.5699558,4,,,POINT (-73.5699558 45.4914247)
32124569,45.4901015,-73.5671946,4,,,POINT (-73.5671946 45.4901015)
32124570,45.4891554,-73.5652131,1,,,POINT (-73.5652131 45.4891554)
32124688,45.4968912,-73.566804,6,,,POINT (-73.566804 45.4968912)
32124689,45.4975204,-73.5660211,3,635,,POINT (-73.5660211 45.4975204)
32124690,45.4982314,-73.5651489,3,,,POINT (-73.5651489 45.4982314)
32124692,45.4995855,-73.5635191,4,,,POINT (-73.5635191 45.4995855)
32124693,45.4996899,-73.5633727,4,,,POINT (-73.5633727 45.4996899)
32124695,45.5017165,-73.5616276,2,,crossing,POINT (-73.5616276 45.5017165)
